,Academic_Year,LSS_Name,School_Name,Assessment,Student_Group,Tested_Count,Proficient_Pct,Create_Date,Level,Subject,Grade
12875,2021.0,Baltimore County,Arbutus Middle,English/Language Arts Grade 6,All Students,316.0,55.1,20220211.0,Middle,English/Language,6
12894,2021.0,Baltimore County,Arbutus Middle,English/Language Arts Grade 7,All Students,318.0,31.4,20220211.0,Middle,English/Language,7
12913,2021.0,Baltimore County,Arbutus Middle,English/Language Arts Grade 8,All Students,236.0,33.9,20220211.0,Middle,English/Language,8
12931,2021.0,Baltimore County,Lansdowne High,English/Language Arts Grade 8,All Students,-1.0,-1.0,20220211.0,High,English/Language,8
12941,2021.0,Baltimore County,Lansdowne High,English/Language Arts Grade 10,All Students,192.0,39.6,20220211.0,High,English/Language,10
12959,2021.0,Baltimore County,McCormick Elementary,English/Language Arts Grade 3,All Students,44.0,20.5,20220211.0,Elementary,English/Language,3
12974,2021.0,Baltimore County,McCormick Elementary,English/Language Arts Grade 4,All Students,56.0,16.1,20220211.0,Elementary,English/Language,4
12989,2021.0,Baltimore County,McCormick Elementary,English/Language Arts Grade 5,All Students,13.0,15.4,20220211.0,Elementary,English/Language,5
13002,2021.0,Baltimore County,McCormick Elementary,English/Language Arts Grade 6,All Students,26.0,34.6,20220211.0,Elementary,English/Language,6
13014,2021.0,Baltimore County,Fullerton Elementary,English/Language Arts Grade 3,All Students,85.0,24.7,20220211.0,Elementary,English/Language,3
13029,2021.0,Baltimore County,Fullerton Elementary,English/Language Arts Grade 4,All Students,96.0,26.0,20220211.0,Elementary,English/Language,4
13047,2021.0,Baltimore County,Fullerton Elementary,English/Language Arts Grade 5,All Students,75.0,29.3,20220211.0,Elementary,English/Language,5
13064,2021.0,Baltimore County,Fullerton Elementary,English/Language Arts Grade 6,All Students,-1.0,-1.0,20220211.0,Elementary,English/Language,6
13070,2021.0,Baltimore County,Elmwood Elementary,English/Language Arts Grade 3,All Students,74.0,13.5,20220211.0,Elementary,English/Language,3
13087,2021.0,Baltimore County,Elmwood Elementary,English/Language Arts Grade 4,All Students,87.0,19.5,20220211.0,Elementary,English/Language,4
13105,2021.0,Baltimore County,Elmwood Elementary,English/Language Arts Grade 5,All Students,59.0,11.9,20220211.0,Elementary,English/Language,5
13121,2021.0,Baltimore County,Elmwood Elementary,English/Language Arts Grade 6,All Students,22.0,45.5,20220211.0,Elementary,English/Language,6
13135,2021.0,Baltimore County,Red House Run Elementary,English/Language Arts Grade 3,All Students,74.0,20.3,20220211.0,Elementary,English/Language,3
13152,2021.0,Baltimore County,Red House Run Elementary,English/Language Arts Grade 4,All Students,90.0,18.9,20220211.0,Elementary,English/Language,4
13170,2021.0,Baltimore County,Red House Run Elementary,English/Language Arts Grade 5,All Students,33.0,15.2,20220211.0,Elementary,English/Language,5
13185,2021.0,Baltimore County,Red House Run Elementary,English/Language Arts Grade 6,All Students,46.0,26.1,20220211.0,Elementary,English/Language,6
13200,2021.0,Baltimore County,Shady Spring Elementary,English/Language Arts Grade 3,All Students,78.0,11.5,20220211.0,Elementary,English/Language,3
13218,2021.0,Baltimore County,Shady Spring Elementary,English/Language Arts Grade 4,All Students,84.0,15.5,20220211.0,Elementary,English/Language,4
13236,2021.0,Baltimore County,Shady Spring Elementary,English/Language Arts Grade 5,All Students,29.0,10.3,20220211.0,Elementary,English/Language,5
13254,2021.0,Baltimore County,Shady Spring Elementary,English/Language Arts Grade 6,All Students,55.0,29.1,20220211.0,Elementary,English/Language,6
